two_theta_deg,intensity_counts
8.0358116800000001,789
8.0385282899999986,794
8.0412448999999988,824
8.043961509999999,841
8.0466781199999993,860
8.0493947299999995,853
8.0521113399999997,835
8.05482795,747
8.0575445600000002,783
8.0602611700000004,821
8.0629777800000006,832
8.0656943899999991,844
8.0684109999999993,804
8.0711276099999996,856
8.0738442199999998,824
8.07656083,827
8.0792774399999985,796
8.0819940499999987,781
8.0847106599999989,843
8.0874272699999992,748
8.0901438799999994,841
8.0928604899999996,834
8.0955770999999999,799
8.0982937100000001,814
8.1010103200000003,790
8.1037269300000006,814
8.106443539999999,822
8.1091601499999992,804
8.1118767599999995,813
8.1145933699999997,759
8.1173099799999999,811
8.1200265900000002,808
8.1227431999999986,839
8.1254598099999988,827
8.1281764199999991,835
8.1308930299999993,813
8.1336096399999995,769
8.1363262499999998,847
8.13904286,769
8.1417594700000002,787
8.1444760800000005,778
8.1471926900000007,815
8.1499092999999991,868
8.1526259099999994,766
8.1553425199999996,798
8.1580591299999998,763
8.1607757400000001,801
8.1634923499999985,797
8.1662089599999987,813
8.168925569999999,800
8.1716421799999992,819
8.1743587899999994,843
8.1770753999999997,755
8.1797920099999999,814
8.1825086200000001,863
8.1852252300000004,819
8.1879418400000006,866
8.190658449999999,789
8.1933750599999993,782
8.1960916699999995,780
8.1988082799999997,874
8.20152489,816
8.2042415000000002,835
8.2069581099999986,800
8.2096747199999989,834
8.2123913299999991,756
8.2151079399999993,784
8.2178245499999996,773
8.2205411599999998,818
8.22325777,805
8.2259743800000003,837
8.2286909900000005,790
8.2314075999999989,811
8.2341242099999992,798
8.2368408199999994,807
8.2395574299999996,755
8.2422740399999999,766
8.2449906500000001,766
8.2477072599999985,816
8.2504238699999988,797
8.253140479999999,782
8.2558570899999992,789
8.2585736999999995,827
8.2612903099999997,863
8.2640069199999999,790
8.2667235300000002,785
8.2694401400000004,790
8.2721567500000006,841
8.2748733599999991,810
8.2775899699999993,819
8.2803065799999995,785
8.2830231899999998,862
8.2857398,811
8.2884564100000002,798
8.2911730199999987,815
8.2938896299999989,803
8.2966062399999991,834
8.2993228499999994,799
8.3020394599999996,822
8.3047560699999998,776
8.3074726800000001,806
8.3101892900000003,875
8.3129059000000005,843
8.315622509999999,808
8.3183391199999992,833
8.3210557299999994,810
8.3237723399999997,854
8.3264889499999999,843
8.3292055600000001,790
8.3319221699999986,828
8.3346387799999988,780
8.337355389999999,791
8.3400719999999993,859
8.3427886099999995,862
8.3455052199999997,801
8.34822183,789
8.3509384400000002,793
8.3536550500000004,781
8.3563716600000006,810
8.3590882699999991,730
8.3618048799999993,856
8.3645214899999996,826
8.3672380999999998,838
8.36995471,807
8.3726713199999985,828
8.3753879299999987,778
8.3781045399999989,841
8.3808211499999992,833
8.3835377599999994,857
8.3862543699999996,788
8.3889709799999999,832
8.3916875900000001,837
8.3944042000000003,819
8.3971208100000005,770
8.399837419999999,830
8.4025540299999992,782
8.4052706399999995,843
8.4079872499999997,764
8.4107038599999999,880
8.4134204700000002,829
8.4161370799999986,817
8.4188536899999988,822
8.4215702999999991,852
8.4242869099999993,858
8.4270035199999995,814
8.4297201299999998,789
8.43243674,774
8.4351533500000002,834
8.4378699600000004,769
8.4405865700000007,825
8.4433031799999991,864
8.4460197899999994,786
8.4487363999999996,823
8.4514530099999998,753
8.4541696200000001,812
8.4568862299999985,839
